,name,regiao,region
0,Rondônia,Região Norte,North
1,Acre,Região Norte,North
2,Amazonas,Região Norte,North
3,Roraima,Região Norte,North
4,Pará,Região Norte,North
5,Amapá,Região Norte,North
6,Tocantins,Região Norte,North
7,Maranhão,Região Nordeste,Northeast
8,Piauí,Região Nordeste,Northeast
9,Ceará,Região Nordeste,Northeast
10,Rio Grande do Norte,Região Nordeste,Northeast
11,Paraíba,Região Nordeste,Northeast
12,Pernambuco,Região Nordeste,Northeast
13,Alagoas,Região Nordeste,Northeast
14,Sergipe,Região Nordeste,Northeast
15,Bahia,Região Nordeste,Northeast
16,Minas Gerais,Região Sudeste,Southeast
17,Espírito Santo,Região Sudeste,Southeast
18,Rio de Janeiro,Região Sudeste,Southeast
19,São Paulo,Região Sudeste,Southeast
20,Paraná,Região Sul,South
21,Santa Catarina,Região Sul,South
22,Rio Grande do Sul,Região Sul,South
23,Região Centro-Oeste,Região Centro-Oeste,Midwest
24,Mato Grosso do Sul,Região Centro-Oeste,Midwest
25,Mato Grosso,Região Centro-Oeste,Midwest
26,Goiás,Região Centro-Oeste,Midwest
27,Distrito Federal,Região Centro-Oeste,Midwest
